rank,id,mallName,category,title,purchaseUrl,imageField,imageSourceHint,sourcingPriority,priorityReason,imageSearchUrl,batchWeek,sourceSafetyLevel,imageReadyGate,requiredProviderFields,operatorChecklist,requestTemplate
1,d011,SSG닷컴,식품,프리미엄 한우 불고기 600g,https://www.ssg.com/item/itemView.ssg?itemId=1000377767271,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=SSG%EB%8B%B7%EC%BB%B4%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%20%ED%95%9C%EC%9A%B0%20%EB%B6%88%EA%B3%A0%EA%B8%B0%20600g%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"SSG닷컴 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
12,d031,쿠팡,생활용품,원목 수납장 3단 다용도 월넛 유리 거실장,https://www.coupang.com/vp/products/7872977867,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,high,주간 보강 배치 상위 후보,https://search.shopping.naver.com/search/all?query=%EC%BF%A0%ED%8C%A1%20%EC%9B%90%EB%AA%A9%20%EC%88%98%EB%82%A9%EC%9E%A5%203%EB%8B%A8%20%EB%8B%A4%EC%9A%A9%EB%8F%84%20%EC%9B%94%EB%84%9B%20%EC%9C%A0%EB%A6%AC%20%EA%B1%B0%EC%8B%A4%EC%9E%A5%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"쿠팡 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
13,d032,SSG닷컴,뷰티,명품 향수 50ml,https://www.ssg.com/item/itemView.ssg?itemId=0000009774169,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,medium,60% 출시 이미지 목표 달성을 위한 fallback 보강 후보,https://search.shopping.naver.com/search/all?query=SSG%EB%8B%B7%EC%BB%B4%20%EB%AA%85%ED%92%88%20%ED%96%A5%EC%88%98%2050ml%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"SSG닷컴 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
14,d033,코레일관광,여행/티켓,부산 주말 KTX 연계 숙박 패키지,https://www.korailtravel.com/web/goods_view/index.asp?goodsNum=15936&page_nm=goods_day&strApart=&strBpart=&strCpart=,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,medium,60% 출시 이미지 목표 달성을 위한 fallback 보강 후보,https://search.shopping.naver.com/search/all?query=%EC%BD%94%EB%A0%88%EC%9D%BC%EA%B4%80%EA%B4%91%20%EB%B6%80%EC%82%B0%20%EC%A3%BC%EB%A7%90%20KTX%20%EC%97%B0%EA%B3%84%20%EC%88%99%EB%B0%95%20%ED%8C%A8%ED%82%A4%EC%A7%80%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"코레일관광 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
15,d035,쿠팡,식품,로켓프레시 친환경 토마토 2kg,https://www.coupang.com/vp/products/9468784918?itemId=28181432958&vendorItemId=95136026489,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,medium,재방문 빈도가 높은 생활형 카테고리,https://search.shopping.naver.com/search/all?query=%EC%BF%A0%ED%8C%A1%20%EB%A1%9C%EC%BC%93%ED%94%84%EB%A0%88%EC%8B%9C%20%EC%B9%9C%ED%99%98%EA%B2%BD%20%ED%86%A0%EB%A7%88%ED%86%A0%202kg%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"쿠팡 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
16,d038,GS SHOP,육아,군 기저귀 프리미엄 팬티 대형 32P 4팩,https://m.gsshop.com/prd/prd.gs?ispre=Y&kwd=24336&mseq=440582&prdid=1076815128&rank=3,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,medium,60% 출시 이미지 목표 달성을 위한 fallback 보강 후보,https://search.shopping.naver.com/search/all?query=GS%20SHOP%20%EA%B5%B0%20%EA%B8%B0%EC%A0%80%EA%B7%80%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%20%ED%8C%AC%ED%8B%B0%20%EB%8C%80%ED%98%95%2032P%204%ED%8C%A9%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"GS SHOP 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
17,d039,인터파크,여행/티켓,뮤지컬 태권 날아올라 R석 타임세일,https://tickets.interpark.com/contents/notice/detail/13198,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,medium,60% 출시 이미지 목표 달성을 위한 fallback 보강 후보,https://search.shopping.naver.com/search/all?query=%EC%9D%B8%ED%84%B0%ED%8C%8C%ED%81%AC%20%EB%AE%A4%EC%A7%80%EC%BB%AC%20%ED%83%9C%EA%B6%8C%20%EB%82%A0%EC%95%84%EC%98%AC%EB%9D%BC%20R%EC%84%9D%20%ED%83%80%EC%9E%84%EC%84%B8%EC%9D%BC%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"인터파크 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
18,d040,올리브영,뷰티,아이보들 CCP 크림 1+1 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211588,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,medium,60% 출시 이미지 목표 달성을 위한 fallback 보강 후보,https://search.shopping.naver.com/search/all?query=%EC%98%AC%EB%A6%AC%EB%B8%8C%EC%98%81%20%EC%95%84%EC%9D%B4%EB%B3%B4%EB%93%A4%20CCP%20%ED%81%AC%EB%A6%BC%201%2B1%20%EA%B8%B0%ED%9A%8D%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"올리브영 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
19,d041,이마트몰,편의점/마트,노브랜드 물티슈 100매 20팩,https://www.ssg.com/item/itemView.ssg?itemId=1000620373892,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,medium,60% 출시 이미지 목표 달성을 위한 fallback 보강 후보,https://search.shopping.naver.com/search/all?query=%EC%9D%B4%EB%A7%88%ED%8A%B8%EB%AA%B0%20%EB%85%B8%EB%B8%8C%EB%9E%9C%EB%93%9C%20%EB%AC%BC%ED%8B%B0%EC%8A%88%20100%EB%A7%A4%2020%ED%8C%A9%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"이마트몰 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
20,d044,옥션,식품,국내산 냉동 블루베리 1kg,https://itempage3.auction.co.kr/DetailView.aspx?itemno=F408783307,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,medium,재방문 빈도가 높은 생활형 카테고리,https://search.shopping.naver.com/search/all?query=%EC%98%A5%EC%85%98%20%EA%B5%AD%EB%82%B4%EC%82%B0%20%EB%83%89%EB%8F%99%20%EB%B8%94%EB%A3%A8%EB%B2%A0%EB%A6%AC%201kg%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"옥션 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
21,d045,SSG닷컴,쿠폰/이벤트,스타벅스 아메리카노 모바일 교환권,https://www.ssg.com/item/itemView.ssg?itemId=1000519076764,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,medium,60% 출시 이미지 목표 달성을 위한 fallback 보강 후보,https://search.shopping.naver.com/search/all?query=SSG%EB%8B%B7%EC%BB%B4%20%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%20%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8%20%EB%AA%A8%EB%B0%94%EC%9D%BC%20%EA%B5%90%ED%99%98%EA%B6%8C%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"SSG닷컴 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
22,d046,쿠팡,편의점/마트,탐사수 무라벨 2L 24병,https://www.coupang.com/vp/products/5625704601?vendorItemId=79548063314,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,medium,60% 출시 이미지 목표 달성을 위한 fallback 보강 후보,https://search.shopping.naver.com/search/all?query=%EC%BF%A0%ED%8C%A1%20%ED%83%90%EC%82%AC%EC%88%98%20%EB%AC%B4%EB%9D%BC%EB%B2%A8%202L%2024%EB%B3%91%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80,1,official_or_partner_only,"productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 동시 확보",productUrl | imageUrl | thumbnail | imageRights | priceCheckedAt,판매처 또는 승인 제휴 피드 이미지 | 상품명과 옵션이 현재 노출 상품과 일치 | 검색 결과 썸네일/커뮤니티/블로그 이미지 사용 금지 | 가격 기준 시각과 이미지 갱신 시각 기록,"쿠팡 이미지 보강 요청: productUrl, imageUrl/thumbnail, imageRights, priceCheckedAt 필드를 공식/제휴 피드로 제공하고 검색 결과 썸네일은 제외"
