section,id,label,provider,category,sourceType,priority,officialUrl,host,refreshCadenceHours,preferredEnvKeys,configuredFeedUrls,allowedUse,blockedUse,status,mode,modeLabel,visibleCount,issueCount,readinessRate,nextAction,operatorAction
source_catalog,mnuri-benefit,문화누리카드 공식 사용 혜택,public_coupon,정부/공공혜택 | 영화/문화,public_official_page,high,https://www.mnuri.kr/main/main.do,mnuri.kr,24,PUBLIC_COUPON_FEED_URLS,0,문화누리카드 공식 가맹점/혜택 안내,"개인 블로그 후기, 검색 결과",,,,,,,PUBLIC_COUPON_FEED_URLS에 승인 feed URL 연결,
source_catalog,naverpay-benefit,네이버페이 공식 이벤트 혜택,official_event,카드/멤버십 | 무료혜택,official_event_page,high,https://new-m.pay.naver.com/pcpay/eventbenefit,new-m.pay.naver.com,6,OFFICIAL_EVENT_FEED_URLS | PUBLIC_COUPON_FEED_URLS,0,네이버페이 공식 포인트/쿠폰/결제 혜택,비공식 이벤트 요약글,,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 PUBLIC_COUPON_FEED_URLS에 승인 feed URL 연결,
source_catalog,kbcard-events,KB국민카드 공식 이벤트,official_event,카드/멤버십,official_event_page,medium,https://card.kbcard.com/BON/DVIEW/HBBMCXCRVNEC0001,card.kbcard.com,12,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,KB국민카드 공식 이벤트/청구할인/캐시백,카드 할인 커뮤니티 글 단독 링크,,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,bccard-events,BC카드 공식 이벤트,official_event,카드/멤버십,official_event_page,medium,https://www.bccard.com/app/card/EventActn.do?menuId=64,bccard.com,12,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,BC카드 공식 이벤트/청구할인/캐시백,뉴스 기사 원문 단독 노출,,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,tworld-membership,T월드 멤버십 할인,official_event,카드/멤버십 | 외식/배달,official_benefit_page,medium,https://www.tworld.co.kr/poc/html/product/TS3.7.1T.2.html,tworld.co.kr,12,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_NEWS_FEED_URLS,0,T월드 공식 멤버십 할인 안내,비공식 멤버십 정리글,,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_NEWS_FEED_URLS에 승인 feed URL 연결,
source_catalog,koreanair-promotion,대한항공 공식 프로모션,event_news,여행/숙박,official_event_page,medium,https://www.koreanair.com/promotion/list,koreanair.com,12,DEAL_EVENT_NEWS_FEED_URLS | OFFICIAL_EVENT_FEED_URLS,0,대한항공 공식 항공권/마일리지 프로모션,"항공권 검색 결과, 커뮤니티 후기",,,,,,,DEAL_EVENT_NEWS_FEED_URLS 또는 OFFICIAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,jejuair-events,제주항공 공식 진행 이벤트,official_event,여행/숙박,official_event_page,high,https://www.jejuair.net/ko/event/event.do,jejuair.net,6,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_NEWS_FEED_URLS,0,"제주항공 공식 진행 이벤트, 항공권 특가, 쿠폰, 여행 제휴 혜택","항공권 검색 결과, 메타검색 결과, 커뮤니티 후기, 종료 이벤트",,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_NEWS_FEED_URLS에 승인 feed URL 연결,
source_catalog,samsung-shop-event,삼성닷컴 공식 이벤트,official_event,디지털/가전,official_event_page,medium,https://www.samsung.com/sec/shop/event/,samsung.com,12,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,삼성닷컴 공식 가전/모바일 이벤트,가격비교 검색 결과,,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,himart-events,하이마트 공식 디지털 행사,official_event,디지털/가전,official_event_page,medium,https://company.himart.co.kr/event/list,company.himart.co.kr,12,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,"롯데하이마트 공식 진행중 이벤트, 특별기획전, 카드 혜택",검색 결과와 커뮤니티 링크,,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
source_catalog,hmall-official-events,현대Hmall 공식 쇼핑 기획전,news,패션/뷰티 | 식품/생필품,official_event_page,medium,https://www.hyundaihmall.com/front/evntSect.do,hyundaihmall.com,12,DEAL_NEWS_FEED_URLS | DEAL_EVENT_NEWS_FEED_URLS,0,현대Hmall 공식 기획전/쿠폰/브랜드 행사,"기사 원문만 있는 링크, 검색 결과",,,,,,,DEAL_NEWS_FEED_URLS 또는 DEAL_EVENT_NEWS_FEED_URLS에 승인 feed URL 연결,
source_catalog,musinsa-fashion-festa,무신사 공식 패션 페스타,official_event,패션/뷰티,official_event_page,medium,https://www.musinsa.com/campaign/fashionfesta_1,musinsa.com,12,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,무신사 공식 캠페인/쿠폰/브랜드 행사,"검색 결과, 커뮤니티 행사 요약글",,,,,,,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 승인 feed URL 연결,
feed_transition,news,뉴스·보도자료,news,,,medium,,,,DEAL_NEWS_FEED_URLS | DEAL_NEWS_RSS_URLS,0,"공식 보도자료, 승인 RSS/Atom, 승인 JSON feed",,seed_launch_ready,seed_fallback,seed fallback,4,0,0,공식 보도자료 RSS 또는 승인 JSON feed를 연결하고 finalUrl은 공식 혜택 페이지로만 유지,OFFICIAL_EVENT_FEED_URLS와 PUBLIC_COUPON_FEED_URLS부터 승인 JSON/RSS feed를 연결해 seed 의존도를 줄입니다.
feed_transition,event_news,이벤트 뉴스,event_news,,,medium,,,,DEAL_EVENT_NEWS_FEED_URLS,0,공식 이벤트 보도자료 feed,,seed_launch_ready,seed_fallback,seed fallback,5,0,0,뉴스 원문은 sourceUrl로만 보관하고 사용자 이동 finalUrl은 공식 이벤트 상세로 교체,OFFICIAL_EVENT_FEED_URLS와 PUBLIC_COUPON_FEED_URLS부터 승인 JSON/RSS feed를 연결해 seed 의존도를 줄입니다.
feed_transition,official_event,공식 이벤트·혜택,official_event,,,high,,,,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,0,"쇼핑몰, 카드사, 통신사, 편의점, 마트 공식 이벤트 JSON/RSS feed",,seed_launch_ready,seed_fallback,seed fallback,16,0,0,상용 운영 전 가장 먼저 공식 이벤트 feed를 연결해 seed 의존도 축소,OFFICIAL_EVENT_FEED_URLS와 PUBLIC_COUPON_FEED_URLS부터 승인 JSON/RSS feed를 연결해 seed 의존도를 줄입니다.
feed_transition,public_coupon,공공·쿠폰·무료혜택,public_coupon,,,high,,,,PUBLIC_COUPON_FEED_URLS,0,"공공기관, 브랜드, 쿠폰 제공처의 공식 혜택 feed",,seed_launch_ready,seed_fallback,seed fallback,5,0,0,무료·쿠폰·포인트 혜택은 공식 수령 페이지가 있는 feed만 연결,OFFICIAL_EVENT_FEED_URLS와 PUBLIC_COUPON_FEED_URLS부터 승인 JSON/RSS feed를 연결해 seed 의존도를 줄입니다.
next_action,next_1,OFFICIAL_EVENT_FEED_URLS와 PUBLIC_COUPON_FEED_URLS부터 승인 JSON/RSS feed를 연결해 seed 의존도를 줄입니다.,,,,,,,,,,,,seed_launch_ready,,,,,0,,OFFICIAL_EVENT_FEED_URLS와 PUBLIC_COUPON_FEED_URLS부터 승인 JSON/RSS feed를 연결해 seed 의존도를 줄입니다.
next_action,next_2,"새 후보를 추가할 때는 공식 URL, 허용 사용 범위, 차단 사용 범위, env key를 함께 기록합니다.",,,,,,,,,,,,seed_launch_ready,,,,,0,,OFFICIAL_EVENT_FEED_URLS와 PUBLIC_COUPON_FEED_URLS부터 승인 JSON/RSS feed를 연결해 seed 의존도를 줄입니다.
next_action,next_3,"사용자 finalUrl은 검색 결과, 커뮤니티 원문, 쇼핑몰 메인이 아니라 공식 이벤트·혜택·구매 상세 페이지여야 합니다.",,,,,,,,,,,,seed_launch_ready,,,,,0,,OFFICIAL_EVENT_FEED_URLS와 PUBLIC_COUPON_FEED_URLS부터 승인 JSON/RSS feed를 연결해 seed 의존도를 줄입니다.
