rank,id,label,provider,category,priority,liveStatus,httpStatus,configuredFeedUrls,recommendedEnvKeys,onboardingStatus,score,nextAction,guardrail
15,baemin-academy-events,배민아카데미 공식 무료 교육 이벤트,public_coupon,외식/배달 | 무료혜택,medium,reachable,200,0,PUBLIC_COUPON_FEED_URLS | DEAL_EVENT_NEWS_FEED_URLS,connect_official_feed,71,PUBLIC_COUPON_FEED_URLS 또는 DEAL_EVENT_NEWS_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
16,lpoint-card-events,L.POINT 공식 카드 이벤트,public_coupon,카드/멤버십 | 무료혜택,medium,reachable,200,0,PUBLIC_COUPON_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,71,PUBLIC_COUPON_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
17,mcdonalds-happysnack,맥도날드 공식 해피스낵 프로모션,official_event,외식/배달 | 무료혜택,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_NEWS_FEED_URLS,connect_official_feed,71,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_NEWS_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
18,megabox-events,메가박스 공식 이벤트,public_coupon,영화/문화 | 무료혜택,medium,reachable,200,0,PUBLIC_COUPON_FEED_URLS | OFFICIAL_EVENT_FEED_URLS,connect_official_feed,71,PUBLIC_COUPON_FEED_URLS 또는 OFFICIAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
19,starbucks-campaign,스타벅스 공식 캠페인,official_event,외식/배달 | 무료혜택,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | PUBLIC_COUPON_FEED_URLS,connect_official_feed,71,OFFICIAL_EVENT_FEED_URLS 또는 PUBLIC_COUPON_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
20,tworld-membership,T월드 멤버십 할인,official_event,카드/멤버십 | 외식/배달,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_NEWS_FEED_URLS,connect_official_feed,71,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_NEWS_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
21,bccard-events,BC카드 공식 이벤트,official_event,카드/멤버십,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,67,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
22,cgv-events,CGV 공식 문화 이벤트,public_coupon,영화/문화 | 무료혜택,medium,guarded,403,0,PUBLIC_COUPON_FEED_URLS | OFFICIAL_EVENT_FEED_URLS,request_partner_or_api,67,보호 페이지를 자동 수집하지 말고 공식 API/RSS/제휴 담당자 승인 feed 요청,"무단 크롤링 금지, 브라우저 자동 수집 금지, 승인 feed만 허용"
23,emart-event-main,이마트몰 공식 행사,official_event,식품/생필품 | 마트/편의점,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,67,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
24,homeplus-event,홈플러스 공식 이벤트,official_event,식품/생필품 | 마트/편의점,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,67,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
25,kbcard-events,KB국민카드 공식 이벤트,official_event,카드/멤버십,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,67,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
26,lottecinema-events,롯데시네마 공식 이벤트,public_coupon,영화/문화,medium,reachable,200,0,PUBLIC_COUPON_FEED_URLS | OFFICIAL_EVENT_FEED_URLS,connect_official_feed,67,PUBLIC_COUPON_FEED_URLS 또는 OFFICIAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
27,hmall-official-events,현대Hmall 공식 쇼핑 기획전,news,패션/뷰티 | 식품/생필품,medium,reachable,200,0,DEAL_NEWS_FEED_URLS | DEAL_EVENT_NEWS_FEED_URLS,connect_official_feed,63,DEAL_NEWS_FEED_URLS 또는 DEAL_EVENT_NEWS_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
28,koreanair-promotion,대한항공 공식 탑승권 제휴 혜택,event_news,여행/숙박,medium,reachable,200,0,DEAL_EVENT_NEWS_FEED_URLS | OFFICIAL_EVENT_FEED_URLS,connect_official_feed,63,DEAL_EVENT_NEWS_FEED_URLS 또는 OFFICIAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
29,musinsa-fashion-festa,무신사 공식 패션 페스타,official_event,패션/뷰티,medium,reachable,200,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,connect_official_feed,63,OFFICIAL_EVENT_FEED_URLS 또는 DEAL_EVENT_FEED_URLS에 공식 JSON/RSS 또는 승인된 파트너 feed URL 연결,검색 결과·커뮤니티 원문·메인 페이지를 finalUrl로 쓰지 않기
30,oliveyoung-events,올리브영 공식 이벤트,official_event,패션/뷰티 | 무료혜택,medium,guarded,403,0,OFFICIAL_EVENT_FEED_URLS | DEAL_EVENT_FEED_URLS,request_partner_or_api,63,보호 페이지를 자동 수집하지 말고 공식 API/RSS/제휴 담당자 승인 feed 요청,"무단 크롤링 금지, 브라우저 자동 수집 금지, 승인 feed만 허용"
